acid,country,year,quarter_of_year,month_of_year,week_of_year,freq_signup,freq_sportsapp,freq_survey,freq_raffle,freq_reviews,freq_email,freq_adiclub_email,freq_pn,freq_adiclub_pn,freq_transactions,freq_earn_points,freq_points_redemption,freq_rewards_redemption,freq_confirmed,freq_dotcom,freq_flagshipapp,freq_hype,freq_pdp,freq_plp,freq_add_to_cart,freq_preference,freq_wishlist,refresh_date,engagement_score
3AD2TI5CWRIEL1BB,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2024-03-04,2
21B593XIP1RW3GVE,GB,2022,4,11,46,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,2024-03-04,7
IIZQZPWCS7INIUTH,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,0,0,2024-03-04,14
VR3TJ6HT1XDVKILD,GB,2022,4,12,50,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2024-03-04,3
RU8NKHA1ORXNGK7C,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2024-03-04,2
V7SW5I3N2JJN9N1X,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-03-04,1
5C6G0SRAMB9Z0ATR,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2024-03-04,3
GE99OEPRUXW93ZYD,GB,2022,4,11,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,2024-03-04,7
I8M0KM3RJWKPDV5J,GB,2022,4,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,2024-03-04,18
1ACAE6C5-5297-F2F2-BFAB-4C08262CD542,GB,2022,4,10,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,1
9KHOFM4XETEE0XZN,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,4,0,0,0,0,2024-03-04,11
